rank,symbol,exchange,direction,trade_action,trade_action_reason,execution_label,execution_mode,execution_summary,score,grade,price,change_pct_24h,quote_volume_24h,entry_low,entry_high,stop,target,rr,long_score,short_score,data_completeness,available_score_max,reasons,warnings,data_time
1,XAUTUSDT,bybit-linear,long,觀察,穩定分數 80.8，暫不下單。原始判斷：市價做；交易候選需連續 2 次確認，目前 1/2。,待確認,市價做,"原始模型是 市價做，但穩定器尚未連續確認；先盯 4,488.10 - 4,490.40，確認後再照 市價做 執行。",85.75,A,4488.8,-0.745,29843456.796,4488.1,4490.4,4486.268571428572,4498.2276,2.000000000000037,85.75,45.7,100.0,100.0,"+16.0/16 1H + 4H 出現有效流動性掃蕩並收回關鍵位 | +12.5/14 4H 位於折價區 position=0.35、接近 4H FVG/失衡區、接近 4H 訂單塊 POI | +16.0/16 15m MSS 收盤突破 4490.8 | +14.0/14 2026-06-01T12:45:00+00:00 long FVG 已回補測試但未完全填補，且與 OB 重疊，且與 OTE 重疊 | +10.0/10 價格位於 OTE 0.62-0.79 回撤區 (0.74)，且與 FVG 入場區重疊 | +1.0/4 共振加分：4H 有 3 觸點趨勢線，但尚未破位 | +2.2/5 共振加分：AMD phase=manipulation_seen_waiting_distribution | +12.0/12 以最近流動性目標估算 RR=2.00 | +2.0/6 24h 成交額 > 2,000 萬 USDT",沒有明確大實體單向位移 | nexus 未納入分母：Nexus/Silver Bullet 未觸發：outside_silver_bullet,2026-06-01T12:55:00+00:00
2,ONDOUSDT,bybit-linear,long,限價做,穩定分數 80.2，核心 ICT 與 API 條件達標；用限價等回補。交易候選需連續 2 次確認，目前 2/2。,可以做,限價,看多，只掛入場區 0.3518 - 0.3526，不到價不追；止損 0.35032，止盈：TP1 0.35408 出 30%；TP2 0.3543 出 40%；TP3 0.35784 出 30%，RR 2.00R。,80.15,B,0.3537,-0.9797999999999999,75221653.2382,0.3518,0.3526,0.35031999999999996,0.3559600000000001,2.0,80.15,46.95,100.0,100.0,"+16.0/16 1H + 4H 出現有效流動性掃蕩並收回關鍵位 | +9.5/14 4H 位於折價區 position=0.15、接近 4H 訂單塊 POI | +16.0/16 15m MSS 收盤突破 0.3543 | +11.7/14 2026-06-01T12:25:00+00:00 long FVG 已回補測試但未完全填補，且與 OB 重疊 | +8.5/10 價格位於 OTE 0.62-0.79 回撤區 (0.75) | +1.0/4 共振加分：4H 有 4 觸點趨勢線，但尚未破位 | +2.2/5 共振加分：AMD phase=manipulation_seen_waiting_distribution | +12.0/12 以最近流動性目標估算 RR=2.00 | +3.2/6 24h 成交額 > 2,000 萬 USDT、與 BTC 相關性 0.54，但 BTC 方向不完全同向",沒有明確大實體單向位移 | nexus 未納入分母：Nexus/Silver Bullet 未觸發：outside_silver_bullet,2026-06-01T12:55:00+00:00
3,ETHUSDT,bybit-linear,long,限價做,穩定分數 82.0，核心 ICT 與 API 條件達標；用限價等回補。交易候選需連續 2 次確認，目前 1/2。,可以做,限價,"看多，只掛入場區 1,979.98 - 1,983.93，不到價不追；止損 1,977.78，止盈：TP1 1,986.13 出 30%；TP2 1,989.40 出 40%；TP3 1,994.49 出 30%，RR 1.78R。",79.95,B,1987.65,-1.6344999999999998,2233616460.0999,1979.98,1983.93,1977.7755714285715,1989.4,1.7813439978125316,79.95,43.3,100.0,100.0,+16.0/16 1H + 4H 出現有效流動性掃蕩並收回關鍵位 | +9.5/14 4H 位於折價區 position=0.06、接近 4H 訂單塊 POI | +16.0/16 15m MSS 收盤突破 1989.4 | +13.0/14 2026-06-01T12:25:00+00:00 long FVG 已回補測試但未完全填補，且與 OB 重疊，且與 OTE 重疊 | +10.0/10 價格位於 OTE 0.62-0.79 回撤區 (0.64)，且與 FVG 入場區重疊 | +1.0/4 共振加分：4H 有 2 觸點趨勢線，但尚未破位 | +2.2/5 共振加分：AMD phase=manipulation_seen_waiting_distribution | +8.0/12 RR=1.78，可觀察但不是最漂亮 | +4.2/6 24h 成交額 > 1 億 USDT、與 BTC 相關性 0.88，但 BTC 方向不完全同向,沒有明確大實體單向位移 | nexus 未納入分母：Nexus/Silver Bullet 未觸發：outside_silver_bullet,2026-06-01T12:55:00+00:00
4,BTCUSDT,bybit-linear,short,觀察,穩定分數 79.4，暫不下單。原始判斷：觀察；訊號尚未完整，只保留觀察。,觀察,不下單,看空 條件還不完整；先等 MSS/BOS、FVG/OTE、RR 或 API 風險改善。,79.4,B,72104.7,-2.3837,4512785784.9372,72779.3,72801.1,73111.20999999999,71862.0,2.8914987072055975,42.25,79.4,100.0,100.0,+16.0/16 1H + 4H 出現有效流動性掃蕩並收回關鍵位 | +9.0/14 接近 4H FVG/失衡區、接近 4H 訂單塊 POI | +16.0/16 15m MSS 收盤突破 72541.7 | +11.4/12 15m 位移 K body/ATR=1.97 但 FVG 不明顯 | +7.0/14 2026-06-01T10:15:00+00:00 short FVG 尚未完全填補 | +1.0/4 共振加分：4H 有 2 觸點趨勢線，但尚未破位 | +1.0/5 共振加分：AMD phase=accumulation_only | +12.0/12 以最近流動性目標估算 RR=2.89 | +6.0/6 24h 成交額 > 1 億 USDT、BTC 本身作為市場基準,nexus 未納入分母：Nexus/Silver Bullet 未觸發：outside_silver_bullet,2026-06-01T12:55:00+00:00
5,LINKUSDT,bybit-linear,short,限價做,穩定分數 77.6，核心 ICT 與 API 條件達標；用限價等回補。交易候選需連續 2 次確認，目前 2/2。,可以做,限價,看空，只掛入場區 9.1200 - 9.1320，不到價不追；止損 9.1413，止盈：TP1 9.1107 出 30%；TP2 9.0040 出 40%；TP3 9.0040 出 30%，RR 7.97R。,76.5,B,9.007,-2.1403,43709938.5134,9.12,9.132,9.141314285714286,9.004,7.966417910447575,67.67,76.5,100.0,100.0,"+16.0/16 1H + 4H 出現有效流動性掃蕩並收回關鍵位 | +4.5/14 接近 4H 訂單塊 POI | +16.0/16 15m MSS 收盤突破 8.978 | +12.0/12 15m 位移 K body/ATR=1.20 並留下 FVG | +12.0/14 2026-06-01T04:30:00+00:00 short FVG 已回補測試但未完全填補，且與 OB 重疊，且與 OTE 重疊 | +1.0/5 共振加分：AMD phase=accumulation_only | +10.0/12 以最近流動性目標估算 RR=7.97 | +5.0/6 24h 成交額 > 2,000 萬 USDT、與 BTC 相關性 0.82 且方向一致",trendline 未納入分母：未形成有效 2-3 觸點趨勢線破位，屬於未觸發加分項 | nexus 未納入分母：Nexus/Silver Bullet 未觸發：outside_silver_bullet | 現價離入場區約 1.25%，依圖片規則不追價，等回補/回測再看,2026-06-01T12:55:00+00:00
6,VIRTUALUSDT,bybit-linear,short,觀察,穩定分數 76.2，暫不下單。原始判斷：觀察；訊號尚未完整，只保留觀察。,觀察,不下單,看空 條件還不完整；先等 MSS/BOS、FVG/OTE、RR 或 API 風險改善。,76.2,B,0.7047,-2.3281,20180597.2963,0.7166,0.7185,0.7201328571428571,0.7043,5.129977876106255,74.22,76.2,100.0,100.0,"+16.0/16 1H + 4H 出現有效流動性掃蕩並收回關鍵位 | +4.5/14 接近 4H 訂單塊 POI | +16.0/16 15m MSS 收盤突破 0.7048 | +12.0/12 15m 位移 K body/ATR=1.32 並留下 FVG | +10.7/14 2026-06-01T06:15:00+00:00 short FVG 已回補測試但未完全填補，且與 OB 重疊 | +1.0/4 共振加分：4H 有 5 觸點趨勢線，但尚未破位 | +1.0/5 共振加分：AMD phase=accumulation_only | +10.0/12 以最近流動性目標估算 RR=5.13 | +5.0/6 24h 成交額 > 2,000 萬 USDT、與 BTC 相關性 0.82 且方向一致",nexus 未納入分母：Nexus/Silver Bullet 未觸發：outside_silver_bullet | 現價離入場區約 1.69%，依圖片規則不追價，等回補/回測再看,2026-06-01T12:55:00+00:00
7,ENAUSDT,bybit-linear,long,觀察,穩定分數 72.6，暫不下單。原始判斷：觀察；訊號尚未完整，只保留觀察。,觀察,不下單,看多 條件還不完整；先等 MSS/BOS、FVG/OTE、RR 或 API 風險改善。,75.42,B,0.08648,-4.3574,45505591.7855,0.08607,0.08644,0.08591371428571429,0.08693757142857142,2.0,75.42,46.7,100.0,100.0,"+16.0/16 1H + 4H 出現有效流動性掃蕩並收回關鍵位 | +9.5/14 4H 位於折價區 position=0.05、接近 4H 訂單塊 POI | +9.7/12 15m 位移 K body/ATR=1.90 但 FVG 不明顯 | +13.0/14 2026-06-01T12:25:00+00:00 long FVG 已回補測試但未完全填補，且與 OB 重疊，且與 OTE 重疊 | +10.0/10 價格位於 OTE 0.62-0.79 回撤區 (0.69)，且與 FVG 入場區重疊 | +1.0/4 共振加分：4H 有 3 觸點趨勢線，但尚未破位 | +1.0/5 共振加分：AMD phase=accumulation_only | +12.0/12 以最近流動性目標估算 RR=2.00 | +3.2/6 24h 成交額 > 2,000 萬 USDT、與 BTC 相關性 0.71，但 BTC 方向不完全同向",15m 尚未確認 MSS/BOS | nexus 未納入分母：Nexus/Silver Bullet 未觸發：outside_silver_bullet,2026-06-01T12:55:00+00:00
8,SOLUSDT,bybit-linear,long,觀察,穩定分數 72.1，暫不下單。原始判斷：觀察；訊號尚未完整，只保留觀察。,觀察,不下單,看多 條件還不完整；先等 MSS/BOS、FVG/OTE、RR 或 API 風險改善。,72.73,B,80.82,-2.3323,488600669.144,80.69,80.83,80.48057142857144,81.3188571428571,2.0,72.72507533362055,66.2,100.0,100.0,+16.0/16 1H + 4H 出現有效流動性掃蕩並收回關鍵位 | +5.0/14 4H 位於折價區 position=0.06 | +9.3/12 15m 位移 K body/ATR=1.32 但 FVG 不明顯 | +13.0/14 2026-06-01T12:25:00+00:00 long FVG 已回補測試但未完全填補，且與 OB 重疊，且與 OTE 重疊 | +10.0/10 價格位於 OTE 0.62-0.79 回撤區 (0.77)，且與 FVG 入場區重疊 | +1.0/4 共振加分：4H 有 5 觸點趨勢線，但尚未破位 | +2.2/5 共振加分：AMD phase=manipulation_seen_waiting_distribution | +12.0/12 以最近流動性目標估算 RR=2.00 | +4.2/6 24h 成交額 > 1 億 USDT、與 BTC 相關性 0.90，但 BTC 方向不完全同向,15m 尚未確認 MSS/BOS | nexus 未納入分母：Nexus/Silver Bullet 未觸發：outside_silver_bullet,2026-06-01T12:55:00+00:00
9,LITUSDT,bybit-linear,long,限價做,穩定分數 72.2，核心 ICT 與 API 條件達標；用限價等回補。交易候選需連續 2 次確認，目前 2/2。,可以做,限價,看多，只掛入場區 1.2825 - 1.2887，不到價不追；止損 1.2705，止盈：TP1 1.3007 出 30%；TP2 1.3306 出 40%；TP3 1.3309 出 30%，RR 2.98R。,72.2,B,1.2981,-1.5176,21153368.0616,1.2825,1.2887,1.2704914285714286,1.3306,2.9784417549167794,72.2,44.5,100.0,100.0,"+16.0/16 1H + 4H 出現有效流動性掃蕩並收回關鍵位 | +4.5/14 接近 4H 訂單塊 POI | +16.0/16 15m MSS 收盤突破 1.2859 | +10.5/14 2026-06-01T12:30:00+00:00 long FVG 尚未完全填補，且與 OB 重疊，且與 OTE 重疊 | +10.0/10 價格位於 OTE 0.62-0.79 回撤區 (0.74)，且與 FVG 入場區重疊 | +12.0/12 以最近流動性目標估算 RR=2.98 | +3.2/6 24h 成交額 > 2,000 萬 USDT、與 BTC 相關性 0.58，但 BTC 方向不完全同向",沒有明確大實體單向位移 | trendline 未納入分母：未形成有效 2-3 觸點趨勢線破位，屬於未觸發加分項 | amd 未納入分母：AMD 未進入可交易階段：no_accumulation | nexus 未納入分母：Nexus/Silver Bullet 未觸發：outside_silver_bullet,2026-06-01T12:55:00+00:00
10,1000PEPEUSDT,bybit-linear,long,觀察,穩定分數 71.7，暫不下單。原始判斷：觀察；訊號尚未完整，只保留觀察。,觀察,不下單,看多 條件還不完整；先等 MSS/BOS、FVG/OTE、RR 或 API 風險改善。,71.67,C,0.003361,-2.2112,50217739.1887,0.003347,0.003357,0.0033417285714285715,0.003369,1.6550764951321624,71.67,58.20000000000001,100.0,100.0,"+16.0/16 1H + 4H 出現有效流動性掃蕩並收回關鍵位 | +9.5/14 4H 位於折價區 position=0.09、接近 4H 訂單塊 POI | +9.7/12 15m 位移 K body/ATR=1.44 但 FVG 不明顯 | +13.0/14 2026-06-01T12:25:00+00:00 long FVG 已回補測試但未完全填補，且與 OB 重疊，且與 OTE 重疊 | +10.0/10 價格位於 OTE 0.62-0.79 回撤區 (0.68)，且與 FVG 入場區重疊 | +2.2/5 共振加分：AMD phase=manipulation_seen_waiting_distribution | +8.0/12 RR=1.66，可觀察但不是最漂亮 | +3.2/6 24h 成交額 > 2,000 萬 USDT、與 BTC 相關性 0.83，但 BTC 方向不完全同向",15m 尚未確認 MSS/BOS | trendline 未納入分母：未形成有效 2-3 觸點趨勢線破位，屬於未觸發加分項 | nexus 未納入分母：Nexus/Silver Bullet 未觸發：outside_silver_bullet,2026-06-01T12:55:00+00:00
